unit_short,subject_ID,sex,age,years_of_education,group,country,unit,subject_ID of the matched participant,wais3,wais4,waisvocabulary,raven,digit_span,spatial_span,melody_span,nback,PROMSMELODYSCORE,PROMSTUNINGSCORE,PROMSBEATSCORE,PROMSSPEEDSCORE,PROMSTOTALSCORE,PROMSTOTALSCORENOMELODY,eBMRQ_MusicSeeking,eBMRQ_EmotionEvocation,eBMRQ_MoodRegulation,eBMRQ_SensoryMotor,eBMRQ_SocialReward,eBMRQ_MusicalAbsorption,eBMRQ_TOT,BMRQ_TOT,gold_msi_active_engagement,gold_msi_perceptual_abilities,gold_msi_musical_training,gold_msi_emotions,gold_msi_singing_abilities,gold_msi_general_sophistication,bfi_extraversion,bfi_agreeableness,bfi_conscientiousness,bfi_negative_emotionality,bfi_open_mindedness,ses_nuclear_family,AddMusicTraining[years],lastMusicActivity[years],training[years],MT05,melody_span_score,to_keep
BE_Bruxelles,7m8a22,female,22,17,musician,Belgium,Bruxelles - Université Libre,4n28e23,NA,40,0.7017543859649122,20,6.5,7,28,19,7.5,4,8,8,27.5,20,12,17,17,18,14,16,94,78,35,46,35,32,29,75,46,49,50,29,44,61,NA,NA,16,10 or more,block12,FALSE
BE_Bruxelles,8m4p24,male,24,17,musician,Belgium,Bruxelles - Université Libre,2n6u25,NA,49,0.8596491228070176,30,10.5,10.5,34,25,10,6,7,6,29,19,16,20,18,16,17,20,107,87,53,59,49,41,39,112,48,46,36,37,52,62,NA,NA,19,10 or more,block12,TRUE
BE_Bruxelles,9m6l29,male,29,14,musician,Belgium,Bruxelles - Université Libre,17n12r30,NA,45,0.7894736842105263,16,10,7.5,25.5,12,7,6.5,6.5,8,28,21,18,18,16,8,17,12,89,77,57,53,46,40,31,102,31,38,31,31,53,59.5,NA,NA,15,10 or more,block12,TRUE
BE_Bruxelles,10m17r19,male,19,12,musician,Belgium,Bruxelles - Université Libre,20n6d18,NA,42,0.7368421052631579,25,13.5,9.5,23.5,28,6,4,6.5,6.5,23,17,15,13,16,9,14,8,75,67,36,50,37,31,16,66,32,47,31,37,49,55.5,NA,NA,10,10 or more,block12,TRUE
BE_Bruxelles,11m9z24,male,24,16,musician,Belgium,Bruxelles - Université Libre,14n29k25,NA,41,0.7192982456140351,23,9,7.5,33,25,10,7.5,7.5,6.5,31.5,21.5,18,18,18,16,16,18,104,86,52,57,40,36,38,103,28,47,31,41,49,46,NA,NA,8,10 or more,block12,FALSE
BE_Bruxelles,12m14f28,female,28,22,musician,Belgium,Bruxelles - Université Libre,13n3e27,NA,53,0.9298245614035088,27,9.5,8.5,30.5,27,9,6,8.5,7,30.5,21.5,8,19,14,15,14,18,88,70,42,57,35,37,39,100,36,52,51,41,51,66,NA,NA,22,10 or more,block12,TRUE
BE_Bruxelles,13m20e21,female,21,15,musician,Belgium,Bruxelles - Université Libre,7n10n22,NA,44,0.7719298245614035,19,14.5,5.5,43.5,25,9.5,5,9.5,4.5,28.5,19,15,20,16,18,16,15,100,85,43,53,39,39,38,95,36,53,48,37,52,57.5,NA,NA,8,6-9,block12,FALSE
BE_Bruxelles,14m24j21,male,21,15,musician,Belgium,Bruxelles - Université Libre,19n12m22,NA,51,0.8947368421052632,33,13.5,10,38.5,23,9.5,8,10,7.5,35,25.5,19,19,19,18,19,20,114,94,54,59,49,42,41,115,45,48,37,47,60,48,NA,NA,16,10 or more,block12,TRUE
BE_Bruxelles,15m15m20,female,20,13,musician,Belgium,Bruxelles - Université Libre,15n31p20,NA,51,0.8947368421052632,22,11.5,10,38,21,10,8,9,8,35,25,14,20,19,19,17,20,109,89,50,57,43,38,36,102,35,45,32,46,56,44.5,NA,NA,7,10 or more,block12,FALSE
BE_Bruxelles,16m1s19,male,19,13,musician,Belgium,Bruxelles - Université Libre,22n20r20,NA,38,0.6666666666666666,23,10.5,9,25,18,7,4,4.5,6,21.5,14.5,14,19,18,16,16,11,94,83,44,44,39,30,32,90,34,51,39,29,49,46,NA,NA,7,10 or more,block12,FALSE
BE_Bruxelles,17m7m30,male,30,21,musician,Belgium,Bruxelles - Université Libre,21n30y29,NA,41,0.7192982456140351,22,8,9,29.5,27,7.5,6.5,4,6.5,24.5,17,14,13,18,20,20,18,103,85,48,49,44,36,39,102,52,44,48,34,55,36,NA,NA,10,10 or more,block12,TRUE
BE_Bruxelles,18m16s24,female,24,18,musician,Belgium,Bruxelles - Université Libre,11n15e25,NA,42,0.7368421052631579,8,15.5,9.5,30.5,25,6.5,6,7.5,6.5,26.5,20,16,14,17,16,12,13,88,75,50,59,43,30,35,103,33,45,41,44,56,14,NA,NA,13,10 or more,block12,FALSE
BE_Bruxelles,19m18s21,female,21,14,musician,Belgium,Bruxelles - Université Libre,9n26w22,NA,45,0.7894736842105263,21,8.5,8,27.5,22,8,6,6,5.5,25.5,17.5,16,20,19,17,17,15,104,89,41,56,42,37,39,99,42,46,50,32,47,53.5,NA,NA,14,10 or more,block12,TRUE
BE_Bruxelles,20m13b20,male,20,14,musician,Belgium,Bruxelles - Université Libre,6n4l21,NA,39,0.6842105263157895,30,9.5,9.5,30,28,8,5.5,8,7.5,29,21,17,19,18,11,12,16,93,77,45,60,36,38,36,98,41,49,32,24,57,56,NA,NA,10,10 or more,block12,TRUE
BE_Bruxelles,21m13j20,female,20,13,musician,Belgium,Bruxelles - Université Libre,18n20y19,NA,43,0.7543859649122807,29,9.5,10.5,29,23,8,6,8,7.5,29.5,21.5,18,19,20,19,19,18,113,95,52,56,36,40,34,96,38,45,40,43,55,53.5,NA,NA,10,6-9,block12,FALSE
